Date;Gold;Argent;Platine;Palladium
04.12.2020;4 436,04;57,98;2 470,91;5 821,87
05.12.2020;4 390,93;57,7;2 501,87;5 591,02
08.12.2020;4 375,28;57,83;2 454,05;5 557,43
09.12.2020;4 415,66;56,25;2 420,38;5 480,20
10.12.2020;4 383,23;57,68;2 418,11;5 439,57
11.12.2020;4 346,88;57,08;2 393,61;5 422,35
12.12.2020;4 310,63;56,15;2 402,56;5 470,42
15.12.2020;4 267,87;55,84;2 382,18;5 448,99
16.12.2020;4 354,98;56,33;2 413,27;5 490,07
17.12.2020;4 393,73;57,16;2 473,81;5 507,07
18.12.2020;4 392,15;58,96;2 463,61;5 527,88
19.12.2020;4 428,96;60,67;2 446,72;5 503,94
22.12.2020;4 487,62;61,98;2 439,17;5 567,37
23.12.2020;4 538,16;63,36;2 432,24;5 603,36
24.12.2020;4 529,59;62,52;2 459,96;5 667,14
25.12.2020;4 505,61;60,91;2 456,66;5 601,48
26.12.2020;4 436,55;61,08;2 419,01;5 515,62
29.12.2020;4 438,08;61,1;2 419,84;5 517,53
30.12.2020;4 437,61;61,05;2 465,21;5 612,44
31.12.2020;4 459,48;62,11;2 522,42;5 562,62
01.01.2021;4 491,66;62,48;2 553,29;5 629,12
